StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID1718085942,QID64,QID66,QID69,QID65,QID67,QID68,QID14,QID20,QID22,QID34,QID35,QID36,QID28,QID38,QID39,QID73,QID74,QID75,QID41,QID42,QID43,QID44,QID45,QID47,QID46,QID52,QID51,QID50,QID49,QID53,QID55,QID54,QID56,QID58,QID 59,,,
2024-10-02 17:12:02,2024-10-02 17:18:11,100,368,TRUE,2024-10-02 17:18:12,38.9034,-76.9882,anonymous,EN,1,"I consent, begin the study",38,Female,20003,Several times per month,Apartment complex,3-4,I view them as equally important,I view them as equally important,I view them as equally important,Heat island reduction is much more important,Increase in biodiversity is much more important,I view them as equally important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Ecological benefits are a little more important,Ecological benefits are a little more important,Personal benefits are a little more important,Mildly disagree,Mildly disagree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Strongly agree,Strongly agree,Mildly agree,Unsure,Mildly agree,,C,,,
2024-10-02 17:30:29,2024-10-02 17:37:43,100,433,TRUE,2024-10-02 17:37:43,33.4601,-117.6382,anonymous,EN,1,"I consent, begin the study",37,Male,20002,Several times per week,Single family stand alone home,3-4,Mental health benefits are a little more important,I view them as equally important,Mental health benefits are a little more important,Heat island reduction is much more important,Increase in biodiversity is much more important,I view them as equally important,I view them as equally important,Increased foot traffic is a little more important,Increased home prices are much more important,Personal benefits are much more important,Economic/social benefits are a little more important,Personal benefits are a little more important,Strongly disagree,Mildly agree,Mildly disagree,Strongly agree,Mildly agree,Mildly agree,Strongly disagree,Mildly agree,Strongly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,,C,,,
2024-10-02 17:31:32,2024-10-02 17:50:05,100,1112,TRUE,2024-10-02 17:50:05,38.9324,-77.0271,anonymous,EN,1,"I consent, begin the study",38,Female,20019,Several times per year,Single family stand alone home,1-2,Recreation space benefits are a little more important,Activity health benefits are a little more important,Activity health benefits are a little more important,Heat island reduction is a little more important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased home prices are a little more important,Community gathering spaces are a little more important,Increased home prices are a little more important,Ecological benefits are a little more important,Economic/social benefits are a little more important,Economic/social benefits are a little more important,Mildly disagree,Mildly disagree,Mildly disagree,Mildly disagree,Mildly disagree,Mildly disagree,Unsure,Mildly disagree,Mildly agree,Unsure,Unsure,Mildly agree,Mildly agree,Mildly disagree,Unsure,,C,,,
2024-10-02 19:28:35,2024-10-02 19:33:52,100,317,TRUE,2024-10-02 19:33:53,38.9034,-76.9882,anonymous,EN,1,"I consent, begin the study",48,Male,20002,Several times per week,Single family stand alone home,3-4,I view them as equally important,Activity health benefits are a little more important,Activity health benefits are a little more important,Heat island reduction is a little more important,Increase in biodiversity is a little more important,I view them as equally important,Increased home prices are a little more important,I view them as equally important,Increased home prices are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,,C,,,
2024-10-02 19:33:20,2024-10-02 19:44:14,100,654,TRUE,2024-10-02 19:44:15,38.9392,-77.0584,anonymous,EN,1,"I consent, begin the study",46,Female,20816,Several times per year,Single family stand alone home,3-4,Mental health benefits are a little more important,I view them as equally important,Mental health benefits are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is a little more important,Increased home prices are a little more important,I view them as equally important,I view them as equally important,Personal benefits are a little more important,Mildly disagree,Mildly disagree,Mildly agree,Mildly disagree,Strongly disagree,Unsure,Mildly agree,Mildly disagree,Strongly agree,Mildly disagree,Mildly disagree,Strongly agree,Mildly agree,Strongly disagree,Mildly agree,,C,,,
2024-10-02 19:45:15,2024-10-02 19:55:11,100,595,TRUE,2024-10-02 19:55:12,38.8597,-77.198,anonymous,EN,1,"I consent, begin the study",38,Female,22042,Several times per week,Other,1-2,Mental health benefits are a little more important,Activity health benefits are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is much more important,I view them as equally important,Community gathering spaces are a little more important,I view them as equally important,Ecological benefits are a little more important,I view them as equally important,Mildly disagree,Strongly disagree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Strongly agree,Mildly disagree,Strongly agree,Mildly agree,Mildly disagree,Strongly agree,Mildly agree,Strongly disagree,Unsure,,C,,,
2024-10-02 19:51:16,2024-10-02 19:58:25,100,429,TRUE,2024-10-02 19:58:26,39.0469,-77.4903,anonymous,EN,1,"I consent, begin the study",44,Female,20024,Several times per week,Multi-family home/duplex,5,I view them as equally important,Recreation space benefits are a little more important,I view them as equally important,I view them as equally important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased foot traffic is a little more important,I view them as equally important,Community gathering spaces are a little more important,Personal benefits are a little more important,Ecological benefits are much more important,I view them as equally important,Mildly disagree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,Unsure,Mildly disagree,Strongly disagree,Strongly agree,Strongly disagree,Mildly disagree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,"One of the (many) problems of Christian nationalism is being taught that humans have dominion over the earth in a way that means humans can use and abuse without any consequences. This interpretation was never intended in the Scriptures, and I believe humans are largely in denial about the consequences of our actions and greed. And Christians are no exception, and in some cases, the worst abusers.",C,,,
2024-10-02 20:12:39,2024-10-02 20:28:38,100,958,TRUE,2024-10-02 20:28:38,38.8606,-76.9776,anonymous,EN,1,"I consent, begin the study",33,Female,20020,Several times per month,Single family stand alone home,3-4,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Increase in biodiversity is a little more important,Increase in biodiversity is a little more important,I view them as equally important,Community gathering spaces are much more important,Community gathering spaces are a little more important,Personal benefits are a little more important,I view them as equally important,Personal benefits are a little more important,Unsure,Strongly agree,Strongly agree,Unsure,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,Mildly disagree,Mildly disagree,Strongly agree,Strongly agree,Strongly disagree,Mildly agree,,C,,,
2024-10-02 20:23:29,2024-10-02 20:28:45,100,315,TRUE,2024-10-02 20:28:45,38.8606,-76.9776,anonymous,EN,1,"I consent, begin the study",34,Male,20020,Several times per year,Single family stand alone home,3-4,Recreation space benefits are much more important,Recreation space benefits are a little more important,Activity health benefits are much more important,Heat island reduction is much more important,Air and water filtration are much more important,Heat island reduction is much more important,Increased home prices are much more important,Community gathering spaces are much more important,Increased home prices are much more important,Personal benefits are much more important,Economic/social benefits are much more important,Economic/social benefits are much more important,Strongly disagree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly agree,Mildly disagree,Strongly disagree,Strongly agree,Mildly disagree,Mildly disagree,Mildly disagree,,C,,,
2024-10-02 21:15:55,2024-10-02 21:25:41,100,585,TRUE,2024-10-02 21:25:41,38.8606,-76.9776,anonymous,EN,1,"I consent, begin the study",35,Female,20032,Several times per month,Single family stand alone home,5,Mental health benefits are much more important,I view them as equally important,I view them as equally important,I view them as equally important,Air and water filtration are a little more important,I view them as equally important,Increased home prices are much more important,Community gathering spaces are much more important,Community gathering spaces are a little more important,I view them as equally important,Economic/social benefits are a little more important,I view them as equally important,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Strongly disagree,Strongly agree,Strongly agree,Mildly disagree,Unsure,"I am a person of Christian faith and this informs my world view of being good stewards of the Earth while still enjoying and taking dominion over plants, earth and animals.",C,,,
2024-10-02 21:34:50,2024-10-02 21:46:22,100,691,TRUE,2024-10-02 21:46:22,38.8606,-76.9776,anonymous,EN,1,"I consent, begin the study",40,Female,20020,Several times per month,Apartment complex,1-2,Recreation space benefits are a little more important,Recreation space benefits are a little more important,Mental health benefits are a little more important,Heat island reduction is a little more important,Increase in biodiversity is a little more important,Increase in biodiversity is much more important,Increased foot traffic is a little more important,Community gathering spaces are much more important,Community gathering spaces are a little more important,Personal benefits are much more important,Economic/social benefits are a little more important,Personal benefits are a little more important,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Unsure,Mildly disagree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,We need more pocket parks East of the River,C,,,
2024-10-02 22:04:39,2024-10-02 22:09:26,100,286,TRUE,2024-10-02 22:09:27,38.9324,-77.0271,anonymous,EN,1,"I consent, begin the study",30,Male,20002,Several times per week,Apartment complex,3-4,Recreation space benefits are much more important,Recreation space benefits are much more important,I view them as equally important,Heat island reduction is a little more important,I view them as equally important,Heat island reduction is much more important,I view them as equally important,I view them as equally important,Community gathering spaces are a little more important,Personal benefits are much more important,Economic/social benefits are much more important,Personal benefits are a little more important,Strongly disagree,Strongly agree,Mildly disagree,Strongly agree,Mildly agree,Mildly agree,Strongly disagree,Mildly agree,Strongly agree,Mildly agree,Strongly disagree,Strongly agree,Mildly agree,Unsure,Mildly disagree,,C,,,
2024-10-03 6:13:20,2024-10-03 6:26:09,100,769,TRUE,2024-10-03 6:26:10,37.751,-97.822,anonymous,EN,0.899999976,"I consent, begin the study",55,Male,20012,Several times per month,Single family stand alone home,5,Mental health benefits are a little more important,Recreation space benefits are a little more important,Mental health benefits are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,Increased home prices are a little more important,Community gathering spaces are much more important,Community gathering spaces are a little more important,I view them as equally important,Ecological benefits are a little more important,Personal benefits are a little more important,Strongly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Unsure,Unsure,"I feel that these survey questions do not allow for a nuanced Christian theology of ecological stewardship. There is need for greater definition, specifically in terms of how closely you will associate human rule (dominion) with abusive or destructive resource management.",C,,,
2024-10-03 7:14:47,2024-10-03 7:20:18,100,331,TRUE,2024-10-03 7:20:19,38.9034,-76.9882,anonymous,EN,1,"I consent, begin the study",39,Female,20018,Several times per year,Single family stand alone home,3-4,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,Mildly agree,Mildly agree,Mildly agree,Unsure,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Unsure,Mildly agree,Mildly disagree,Mildly disagree,Mildly agree,,C,,,
2024-10-03 8:44:23,2024-10-03 8:47:03,100,160,TRUE,2024-10-03 8:47:04,38.9206,-76.8787,anonymous,EN,1,"I consent, begin the study",44,Female,20785,Almost never,Single family stand alone home,1-2,Mental health benefits are a little more important,Recreation space benefits are a little more important,Mental health benefits are much more important,Heat island reduction is a little more important,Increase in biodiversity is much more important,Increase in biodiversity is a little more important,Increased foot traffic is much more important,Community gathering spaces are much more important,Community gathering spaces are a little more important,Ecological benefits much more important,Ecological benefits are a little more important,Personal benefits are a little more important,Mildly disagree,Mildly disagree,Strongly agree,Unsure,Strongly agree,Mildly agree,Mildly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,,C,,,
2024-10-03 10:37:20,2024-10-03 10:41:12,100,231,TRUE,2024-10-03 10:41:13,38.9522,-77.0253,anonymous,EN,1,"I consent, begin the study",59,Female,20017,Several times per year,Multi-family home/duplex,1-2,I view them as equally important,I view them as equally important,I view them as equally important,Heat island reduction is a little more important,Increase in biodiversity is a little more important,I view them as equally important,Increased home prices are a little more important,Community gathering spaces are a little more important,I view them as equally important,I view them as equally important,Ecological benefits are a little more important,Economic/social benefits are a little more important,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Strongly agree,Mildly disagree,Mildly disagree,Strongly disagree,Mildly agree,Strongly disagree,Strongly agree,Unsure,Unsure,Mildly disagree,Strongly agree,,C,,,
2024-10-03 12:30:51,2024-10-03 12:34:33,100,222,TRUE,2024-10-03 12:34:34,38.8574,-77.1,anonymous,EN,1,"I consent, begin the study",26,Female,22203,Several times per year,Single family stand alone home,3-4,Recreation space benefits are a little more important,Activity health benefits are much more important,Activity health benefits are much more important,Air and water filtration are much more important,Increase in biodiversity is much more important,Increase in biodiversity is much more important,Increased home prices are a little more important,Community gathering spaces are much more important,Community gathering spaces are a little more important,Ecological benefits are a little more important,Ecological benefits are a little more important,Economic/social benefits are a little more important,Mildly agree,Mildly disagree,Strongly agree,Mildly agree,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,Strongly disagree,Unsure,Mildly agree,Mildly agree,Mildly disagree,Strongly agree,,C,,,
2024-10-03 12:21:08,2024-10-03 14:29:39,100,7710,TRUE,2024-10-03 14:29:40,38.8078,-77.0523,anonymous,EN,1,"I consent, begin the study",46,Male,22304,Several times per year,Multi-family home/duplex,1-2,Recreation space benefits are a little more important,Recreation space benefits are a little more important,Activity health benefits are a little more important,Heat island reduction is a little more important,Air and water filtration are a little more important,Heat island reduction is much more important,Increased home prices are a little more important,Community gathering spaces are much more important,Community gathering spaces are a little more important,Personal benefits are much more important,Economic/social benefits are a little more important,Personal benefits are a little more important,Strongly disagree,Mildly agree,Mildly agree,Unsure,Mildly agree,Mildly agree,Mildly agree,Unsure,Strongly agree,Unsure,Mildly disagree,Unsure,Mildly agree,Mildly disagree,Mildly disagree,"I appreciate the social/personal benefits conferred by pocket parks and the ecological benefits conferred by larger parks.  However, pocket parks are so small that they rarely function as contiguous habitat for anything more than non-winged insects or microorganisms.  They offer benefits, they are not a good substitute for other ecological practices that can take place on larger pieces of land (including suburban lawns).",C,,,
2024-10-03 17:27:23,2024-10-03 17:37:44,100,621,TRUE,2024-10-03 17:37:45,38.9522,-77.0253,anonymous,EN,1,"I consent, begin the study",27,Male,20001,Several times per month,Multi-family home/duplex,1-2,I view them as equally important,Activity health benefits are a little more important,I view them as equally important,Heat island reduction is a little more important,Increase in biodiversity is a little more important,Heat island reduction is a little more important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Personal benefits are a little more important,Economic/social benefits are a little more important,Personal benefits are a little more important,Strongly disagree,Mildly agree,Mildly disagree,Mildly agree,Mildly agree,Strongly agree,Mildly agree,Unsure,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Unsure,Unsure,Strongly disagree,,C,,,
2024-10-03 17:48:54,2024-10-03 17:58:07,100,552,TRUE,2024-10-03 17:58:08,38.9522,-77.0253,anonymous,EN,1,"I consent, begin the study",22,Male,20009,Several times per year,Single family stand alone home,5,Recreation space benefits are a little more important,Recreation space benefits are a little more important,I view them as equally important,Air and water filtration are a little more important,I view them as equally important,Increase in biodiversity is a little more important,I view them as equally important,Increased foot traffic is a little more important,Increased home prices are a little more important,Personal benefits are a little more important,I view them as equally important,Personal benefits are a little more important,Mildly disagree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly disagree,Strongly agree,Unsure,Mildly disagree,Mildly agree,Mildly agree,Strongly disagree,Unsure,,C,,,
2024-10-03 20:37:51,2024-10-03 20:44:05,100,374,TRUE,2024-10-03 20:44:06,38.9208,-77.036,anonymous,EN,1,"I consent, begin the study",32,Female,20002,Several times per month,Other,3-4,Mental health benefits are a little more important,I view them as equally important,Mental health benefits are a little more important,Heat island reduction is a little more important,Air and water filtration are a little more important,Heat island reduction is much more important,Increased home prices are much more important,Community gathering spaces are much more important,Increased home prices are a little more important,Personal benefits are a little more important,Economic/social benefits are a little more important,Economic/social benefits are a little more important,Mildly disagree,Strongly disagree,Strongly agree,Mildly agree,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,Mildly agree,Mildly agree,Unsure,Mildly agree,Strongly disagree,Unsure,,C,,,
2024-10-03 21:34:01,2024-10-03 21:53:51,100,1190,TRUE,2024-10-03 21:53:53,38.9034,-76.9882,anonymous,EN,1,"I consent, begin the study",69,Female,20002,Several times per month,Multi-family home/duplex,1-2,I view them as equally important,Recreation space benefits are a little more important,I view them as equally important,I view them as equally important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,I view them as equally important,I view them as equally important,I view them as equally important,Strongly agree,Mildly agree,Mildly agree,Mildly agree,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Strongly agree,Strongly disagree,Mildly agree,Strongly disagree,Mildly agree,Strongly disagree,Strongly agree,"Caring for pocket parks, setting aside the resources to care for them, and encouraging community ownership of park health and order as very important factors in policy development. Pocket parks can’t fulfill environmental, social and real estate benefit goals if they are not well cared for and seen as a positive asset. It can be especially demoralizing to a community to start with an ambitious development but experience decline because maintenance and the sustainability of the project was neglected.",C,,,
2024-10-05 12:48:45,2024-10-05 12:53:51,100,306,TRUE,2024-10-05 12:53:51,38.9034,-76.9882,anonymous,EN,1,"I consent, begin the study",29,Female,20002,Several times per month,Single family stand alone home,1-2,I view them as equally important,Recreation space benefits are a little more important,Mental health benefits are a little more important,I view them as equally important,Air and water filtration are much more important,Heat island reduction is much more important,Increased foot traffic is a little more important,Increased foot traffic is a little more important,Community gathering spaces are a little more important,Ecological benefits are a little more important,Ecological benefits are a little more important,I view them as equally important,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Strongly agree,Mildly agree,Strongly agree,Mildly disagree,Strongly agree,Strongly disagree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Strongly agree,,C,,,
2024-10-06 13:03:58,2024-10-06 13:10:32,100,394,TRUE,2024-10-06 13:10:33,39.0469,-77.4903,anonymous,EN,1,"I consent, begin the study",33,Female,22302,Several times per month,Multi-family home/duplex,1-2,Mental health benefits are much more important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Strongly agree,Strongly disagree,Strongly agree,Unsure,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,Strongly disagree,Strongly agree,,C,,,
2024-10-08 14:55:54,2024-10-08 15:03:14,100,440,TRUE,2024-10-08 15:03:15,38.9034,-76.9882,anonymous,EN,1,"I consent, begin the study",40,Male,20002,Several times per month,Single family stand alone home,1-2,Mental health benefits are a little more important,I view them as equally important,I view them as equally important,Heat island reduction is a little more important,Air and water filtration are a little more important,Heat island reduction is a little more important,Increased foot traffic is much more important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,Ecological benefits are a little more important,Ecological benefits are a little more important,Economic/social benefits are a little more important,Mildly agree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,Mildly disagree,Mildly disagree,Mildly disagree,Strongly agree,Mildly disagree,Mildly agree,Strongly agree,Mildly agree,Strongly disagree,Strongly agree,,C,,,
2024-10-09 9:08:05,2024-10-09 9:12:42,100,276,TRUE,2024-10-09 9:12:42,40.2327,-76.9331,anonymous,EN,1,"I consent, begin the study",33,Female,17050,Several times per month,Single family stand alone home,1-2,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,I view them as equally important,Community gathering spaces are a little more important,Community gathering spaces are a little more important,I view them as equally important,Ecological benefits are a little more important,I view them as equally important,Mildly disagree,Mildly disagree,Mildly agree,Unsure,Strongly agree,Mildly disagree,Mildly agree,Strongly disagree,Mildly agree,Strongly disagree,Mildly disagree,Mildly agree,Mildly agree,Mildly disagree,Mildly agree,,C,,,
2024-10-02 17:23:59,2024-10-02 17:30:32,38,393,FALSE,2024-10-09 17:30:35,,,anonymous,EN,1,"I consent, begin the study",25,Female,20002,Several times per week,,1-2,I view them as equally important,Recreation space benefits are much more important,Mental health benefits are much more important,Heat island reduction is much more important,Increase in biodiversity is much more important,Heat island reduction is much more important,,,,,,,,,,,,,,,,,,,,,,,C,,,